Brand,Name,Variant,Type,Lip Condition,Undertone,Ketahanan,Finish Texture,Price
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Fame,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Allure,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Brick,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Amaze,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Adore,Lip Cream,Normal,"Neutral-Shade, Cool-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Dusty,Lip Cream,Normal,"Neutral-Shade, Cool-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Flame,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Lip Cream Hanasui Mattedorable Lipcream,Glame,Lip Cream,Normal,Cool-Shade,High-Stay,Matte,26500
Hanasui,Hanasui Next Level Butter Balm,Nerdy,Lip Balm,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Satin/Velvet,33000
Hanasui,Hanasui Next Level Butter Balm,Witty,Lip Balm,Normal,"Neutral-Shade, Cool-Shade",High-Stay,Satin/Velvet,33000
Hanasui,Hanasui Next Level Butter Balm,Sassy,Lip Balm,Normal,Cool-Shade,High-Stay,Satin/Velvet,33000
Hanasui,Hanasui Next Level Butter Balm,Whimsy,Lip Balm,Normal,Warm-Shade,High-Stay,Satin/Velvet,33000
Hanasui,Hanasui Next Level Butter Balm,Artsy,Lip Balm,Normal,Warm-Shade,High-Stay,Satin/Velvet,33000
Hanasui,Hanasui Next Level Butter Balm,Pretty,Lip Balm,Normal,"Neutral-Shade, Cool-Shade",High-Stay,Satin/Velvet,33000
Hanasui,Hanasui Matteadorable Lipcream - BOBA EDITION,Forest Berry,Lip Cream,Normal,Cool-Shade,High-Stay,Matte,26500
Hanasui,Hanasui Matteadorable Lipcream - BOBA EDITION,Brown Sugar,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Hanasui Matteadorable Lipcream - BOBA EDITION,Salted Caramel,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Hanasui Matteadorable Lipcream - BOBA EDITION,Pink Lava,Lip Cream,Normal,"Neutral-Shade, Cool-Shade",High-Stay,Matte,26500
Hanasui,Hanasui Matteadorable Lipcream - BOBA EDITION,Creamy Peach,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,26500
Hanasui,Hanasui Matteadorable Lipcream - BOBA EDITION,Hazelnut Latter,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,26500
Glad2Glow,Glad2Glow Brightening Lip Serum,Peach Pie,Lip Serum,"Kering, Dehidrasi",Warm-Shade,Low-Stay,Glossy,59000
Glad2Glow,Glad2Glow Brightening Lip Serum,Berry Soda,Lip Serum,"Kering, Dehidrasi",Cool-Shade,Low-Stay,Glossy,59000
Glad2Glow,Glad2Glow Brightening Lip Serum,Pearl Sparkle,Lip Serum,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",Low-Stay,Glossy,59000
Glad2Glow,Glad2Glow Brightening Lip Serum,Grape Jelly,Lip Serum,"Kering, Dehidrasi",Neutral-Shade,Low-Stay,Glossy,59000
Glad2Glow,Glad2Glow Brightening Lip Serum,Cherry Pop,Lip Serum,"Kering, Dehidrasi",Warm-Shade,Low-Stay,Glossy,59000
Glad2Glow,Glad2Glow Brightening Lip Serum,Pumpkin Frost,Lip Serum,"Kering, Dehidrasi",Warm-Shade,Low-Stay,Glossy,59000
Implora,Implora Jelly Tint,Mariposa,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,20500
Implora,Implora Jelly Tint,Savvy Red,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,20500
Implora,Implora Jelly Tint,True Vintage,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,20500
Implora,Implora Jelly Tint,Rosy Posy,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,20500
Implora,Implora Jelly Tint,Dream Peach,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,20500
Implora,Implora Jelly Tint,Flamingo,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,20500
Implora,Implora Jelly Tint,Sangria,Lip Tint,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,20500
Implora,Implora Jelly Tint,Burnt Orange,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,20500
Implora,Implora Jelly Tint,Rosewood,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,20500
Hanasui,Hanasui Mattedorable Lip Cream Matcha Latte Edition,Matchalicious,Lip Cream,"Kering, Normal",Cool-Shade,High-Stay,Matte,26500
Hanasui,Hanasui Mattedorable Lip Cream Matcha Latte Edition,Matchamallow,Lip Cream,"Kering, Normal","Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Hanasui Mattedorable Lip Cream Matcha Latte Edition,Matchaciano,Lip Cream,"Kering, Normal",Warm-Shade,High-Stay,Matte,26500
Hanasui,Hanasui Mattedorable Lip Cream Matcha Latte Edition,Matchalover,Lip Cream,"Kering, Normal",Warm-Shade,High-Stay,Matte,26500
Hanasui,Hanasui Mattedorable Lip Cream Matcha Latte Edition,Matchablend,Lip Cream,"Kering, Normal",Neutral-Shade,High-Stay,Matte,26500
Hanasui,Hanasui Mattedorable Lip Cream Matcha Latte Edition,Matchachoco,Lip Cream,"Kering, Normal","Warm-Shade, Neutral-Shade",High-Stay,Matte,26500
Hanasui,Hanasui Next Level Blurry Tint,Redveluv,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Satin/Velvet,31500
Hanasui,Hanasui Next Level Blurry Tint,Sorbae,Lip Tint,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Satin/Velvet,31500
Hanasui,Hanasui Next Level Blurry Tint,Muffeel,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,31500
Hanasui,Hanasui Next Level Blurry Tint,Ollieboy,Lip Tint,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Satin/Velvet,31500
Hanasui,Hanasui Next Level Blurry Tint,Pavlover,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Satin/Velvet,31500
Hanasui,Hanasui Next Level Blurry Tint,PistaseeU,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Satin/Velvet,31500
Hanasui,Hanasui Next Level Blurry Tint,Cinnamone,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Satin/Velvet,31500
Hanasui,Hanasui Next Level Blurry Tint,Rousse,Lip Tint,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Satin/Velvet,31500
Hanasui,Hydrating Hanasui Glazedorable Lip Vinyl,Not Today,Lip Vynil,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,37000
Hanasui,Hydrating Hanasui Glazedorable Lip Vinyl,Yes Honey,Lip Vynil,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,37000
Hanasui,Hydrating Hanasui Glazedorable Lip Vinyl,Thank You,Lip Vynil,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,37000
Hanasui,Hydrating Hanasui Glazedorable Lip Vinyl,Bless Me,Lip Vynil,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,37000
Hanasui,Hydrating Hanasui Glazedorable Lip Vinyl,Speechless,Lip Vynil,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,37000
Hanasui,Hydrating Hanasui Glazedorable Lip Vinyl,Stay Cool,Lip Vynil,"Kering, Dehidrasi","Neutral-Shade, Warm-Shade",High-Stay,Glossy,37000
TimePhoria,TimePhoria Stellar Dust Lip Stain,Calyptra,Lip Stain,"Normal, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Solaris,Lip Stain,"Normal, Dehidrasi",Warm-Shade,High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Luxia,Lip Stain,"Normal, Dehidrasi","Cool-Shade, Neutral-Shade",High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Cherrion,Lip Stain,"Normal, Dehidrasi",Cool-Shade,High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Electra,Lip Stain,"Normal, Dehidrasi",Cool-Shade,High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Nerose,Lip Stain,"Normal, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Quanta,Lip Stain,"Normal, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Rubion,Lip Stain,"Normal, Dehidrasi",Cool-Shade,High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Enigma,Lip Stain,"Normal, Dehidrasi",Cool-Shade,High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Axion,Lip Stain,"Normal, Dehidrasi",Neutral-Shade,High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Futura,Lip Stain,"Normal, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,113050
TimePhoria,TimePhoria Stellar Dust Lip Stain,Pulse,Lip Stain,"Normal, Dehidrasi",Warm-Shade,High-Stay,Glossy,113050
Implora,Implora Cheek & Liptint Multifungsi,Vampire Blood,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,16000
Implora,Implora Cheek & Liptint Multifungsi,Cherry Bomb,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,16000
Implora,Implora Cheek & Liptint Multifungsi,Candy Apple,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,16000
Implora,Implora Cheek & Liptint Multifungsi,Redwine,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,16000
Implora,Implora Cheek & Liptint Multifungsi,Cranberry,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,16000
Implora,Implora Cheek & Liptint Multifungsi,Pumpkin,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,16000
Implora,Implora Cheek & Liptint Multifungsi,Juicy Juice,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,16000
Implora,Implora Cheek & Liptint Multifungsi,Waffle Crumble,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Cool-Shade",High-Stay,Glossy,16000
Implora,Implora Cheek & Liptint Multifungsi,Red Velvet,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,16000
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Innocent Lady,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Baby Flamingo,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Pink Champagne,Lip Cream,Normal,Cool-Shade,High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Angel Crush,Lip Cream,Normal,Neutral-Shade,High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Cherry Bomb,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Passionate Red,Lip Cream,Normal,Cool-Shade,High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Pinky Winky,Lip Cream,Normal,"Neutral-Shade, Cool-Shade",High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Boba Milk,Lip Cream,Normal,"Warm-Shade, Neutral-Shade",High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Kiss Me,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Sweet Talk,Lip Cream,Normal,Neutral-Shade,High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Coffee Break,Lip Cream,Normal,Warm-Shade,High-Stay,Matte,22800
Salsa,Salsa Lip Cream Tahan Lama 12 Warna,Juicy Gossip,Lip Cream,Normal,"Warm-Shade, Cool-Shade",High-Stay,Matte,22800
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Rabbit,Lip Balm,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Sorbet,Lip Balm,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Pecan,Lip Balm,"Kering, Dehidrasi","Neutral-Shade, Warm-Shade",High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Lace,Lip Balm,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Sangria,Lip Balm,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Valentine,Lip Balm,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Ballet,Lip Balm,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Ribbon,Lip Balm,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Sakura,Lip Balm,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Walnut,Lip Balm,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Raisin,Lip Balm,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Coquette,Lip Balm,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Flirty,Lip Balm,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Petal,Lip Balm,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,75650
Somethinc,Somethinc Ceraplump Tinted Lip Balm SPF25,Cherry,Lip Balm,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,75650
Viva White,Viva White Moisture Balm Chic On Lips,Orange Blast,Lip Balm,"Kering, Dehidrasi",Neutral Shade,Low-Stay,Glossy,14000
Viva White,Viva White Moisture Balm Chic On Lips,Strawberry Inside,Lip Balm,"Kering, Dehidrasi",Neutral Shade,Low-Stay,Glossy,14000
Viva White,Viva White Moisture Balm Chic On Lips,Aloe Secret,Lip Balm,"Kering, Dehidrasi",Neutral Shade,Low-Stay,Glossy,14000
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Anastasia,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Vania,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Elly,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Rissa,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Kyla,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Elise,Lip Tint,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Monica,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Maudy,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Valerie,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,39200
Dear Me Beauty,Dear Me Beauty Serum Liptint,Dear Vivi,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,39200
Somethinc,Somethinc Forever Stay Lip Matte Series,Nude,Lip Matte,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,Frappe,Lip Matte,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,Dolce,Lip Matte,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,Wink,Lip Matte,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,Lowkey,Lip Matte,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,Hottie,Lip Matte,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,Chili,Lip Matte,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,GGWP,Lip Matte,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,XOXO,Lip Matte,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,Chai,Lip Matte,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Matte,76415
Somethinc,Somethinc Forever Stay Lip Matte Series,Cozy,Lip Matte,"Kering, Dehidrasi",Cool-Shade,High-Stay,Matte,76415
Dazzle Me,Dazzle Me Ink-Matte Lip Cream,Lush Ink,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,23900
Dazzle Me,Dazzle Me Ink-Matte Lip Cream,Wonder Ink,Lip Cream,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Matte,23900
Dazzle Me,Dazzle Me Ink-Matte Lip Cream,Worth Ink,Lip Cream,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,23900
Dazzle Me,Dazzle Me Ink-Matte Lip Cream,Peach Ink,Lip Cream,"Kering, Dehidrasi",Warm-Shade,High-Stay,Matte,23900
Dazzle Me,Dazzle Me Ink-Matte Lip Cream,Joy Ink,Lip Cream,"Kering, Dehidrasi","Warm-Shade, Cool-Shade",High-Stay,Matte,23900
Raecca,Raecca Glow Up Tint Long Lasting,Confident,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Brave,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Strong,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Active,Lip Tint,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Cheerful,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Dynamic,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Fancy,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Energic,Lip Tint,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Gorgeous,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Happy,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Incredible,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,69900
Raecca,Raecca Glow Up Tint Long Lasting,Joyful,Lip Tint,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,69900
Pixy,Pixy Hydra Glass Lip Tint,Toffee Caramel,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,37050
Pixy,Pixy Hydra Glass Lip Tint,Strawberry Crepe,Lip Tint,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,37050
Pixy,Pixy Hydra Glass Lip Tint,Pinky Popsicle,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,37050
Pixy,Pixy Hydra Glass Lip Tint,Fig Shortcake,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,37050
Pixy,Pixy Hydra Glass Lip Tint,Raspberry Tart,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,37050
Pixy,Pixy Hydra Glass Lip Tint,Apple Cinnamon,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,37050
Pixy,Pixy Hydra Glass Lip Tint,Cherry Pie,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Cool-Shade",High-Stay,Glossy,37050
Pixy,Pixy Hydra Glass Lip Tint,Sunshine Sorbet,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,37050
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,Uno,Lip Tint,"Kering, Dehidrasi",Warm-Shade,High-Stay,Glossy,84150
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,Hustle,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,84150
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,Treschic,Lip Tint,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,84150
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,PWR,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,84150
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,Unreal,Lip Tint,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,84150
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,Mantra,Lip Tint,"Kering, Dehidrasi",Neutral-Shade,High-Stay,Glossy,84150
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,Sassy,Lip Tint,"Kering, Dehidrasi",Cool-Shade,High-Stay,Glossy,84150
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,Notty,Lip Tint,"Kering, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Glossy,84150
Somethinc,Somethinc Forever Stay Comfort Lip Glaze,Selfmade,Lip Tint,"Kering, Dehidrasi","Neutral-Shade, Cool-Shade",High-Stay,Glossy,84150
TimePhoria,TimePhoria Eternal Lip Matte,Trick,Matte Lip Cream,"Normal, Dehidrasi",Warm-Shade,High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Hocus,Matte Lip Cream,"Normal, Dehidrasi","Warm-Shade, Neutral-Shade",High-Stay,Matte,94050
TimePhoria,TimePhoria Eternal Lip Matte,Ritual,Matte Lip Cream,"Normal, Dehidrasi",Neutral-Shade,High-Stay,Matte,94050
